time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2024-01-08,390920.59922901227,138683.2964160545,111958.89794545421,897.2678459866125,0.0,0.0
2024-01-09,401911.56842234137,132011.38708078157,101370.85766920424,7166.24826418041,0.0,0.0
2024-01-10,419614.59778323007,122912.19322681228,93559.8696726907,6373.400753774543,0.0,0.0
2024-01-11,427292.75466379116,121349.8711877506,91020.67268979164,2734.414475096847,62.3484200773689,0.0
2024-01-12,429153.6178730745,118900.67183502682,92578.00430929629,1827.76741910998,0.0,0.0
2024-01-13,433465.3046413268,116948.78967219268,89163.7269161717,2696.6808433413116,185.55936347514566,0.0
2024-01-14,435486.93199493224,123831.67942066668,80063.60694483167,2581.84099176249,496.0020843145153,0.0
2024-01-15,436634.50356027344,109837.56092026971,94257.54722005891,1358.7733486514896,371.67638725401764,0.0
2024-01-16,433203.3122167666,105026.44535865204,102753.50096534926,1410.420947318997,66.38194842069589,0.0
2024-01-17,432579.08618889295,98034.4415985483,111597.51338754632,249.02026152004123,0.0,0.0
2024-01-18,420402.89498259744,98391.72069023238,121780.79812945721,64.00994977467465,843.4647350851039,977.1729493607495
2024-01-19,392950.9047339272,110828.64683588142,138680.50986669894,0.0,0.0,0.0
2024-01-20,364516.6776075422,126502.58326332123,151440.80056564417,0.0,0.0,0.0
2024-01-21,343211.722876235,138930.66613919585,160317.67242107674,0.0,0.0,0.0
2024-01-22,327120.3025729897,151081.05897352163,163509.7478517099,748.9520382863477,0.0,0.0
2024-01-23,315296.4548672347,171857.1491187702,152348.8358751891,2957.6215753136394,0.0,0.0
2024-01-24,310044.1176571194,173033.26084282453,156648.62886033126,2734.054076232356,0.0,0.0
2024-01-25,299227.00214539154,164068.50427383836,175081.54103658244,4083.013980695249,0.0,0.0
2024-01-26,286476.6940434378,168443.13089453784,183284.9944753411,4255.242023190825,0.0,0.0
2024-01-27,270271.6464708502,177051.95925033223,188133.38582010265,7003.069895222483,0.0,0.0
2024-01-28,266020.0902796478,176256.60592003557,193216.7479975093,6966.617239314973,0.0,0.0
2024-01-29,255539.82773093198,181544.64087725495,199753.19418676483,5314.373641555799,308.0250000000016,0.0
2024-01-30,254367.86875261628,186188.73807556537,200605.8720641312,1297.5825441947381,0.0,0.0
2024-01-31,251399.2942182481,193840.15279366315,194157.25915340317,3063.3552711931397,0.0,0.0
2024-02-01,254638.5706741636,199768.78085656764,186019.19781110174,2033.5120946746074,0.0,0.0
2024-02-02,258286.00317655335,203517.80533753717,174193.46020942513,6462.792712991941,0.0,0.0
2024-02-03,266752.00948233256,211931.66478797272,158952.46519652338,4823.921969678891,0.0,0.0
2024-02-04,275817.82159268134,212267.7252084674,150467.77101685826,3906.743618500553,0.0,0.0
2024-02-05,282764.82194246544,210745.68364507085,142485.34572069306,6464.210128278194,0.0,0.0
2024-02-06,295813.9157679955,196577.89879036456,141132.07407900813,8936.172799139335,0.0,0.0
2024-02-07,308103.25078691036,186141.32335366448,138065.88043208467,10149.60686384808,0.0,0.0
2024-02-08,317452.57373024395,172023.7695600232,140085.90751054866,12897.810635691734,0.0,0.0
2024-02-09,322214.43518324324,159148.22834847146,138307.719697505,22789.67820728784,0.0,0.0
2024-02-10,318971.8767744553,151710.64835020708,142712.99175003593,29064.544561809278,0.0,0.0
2024-02-11,304049.98173416033,154117.32938948832,146528.04658320802,37764.70372965089,0.0,0.0
2024-02-12,289111.83535890747,161405.69868211183,152259.90189370656,39682.62550178172,0.0,0.0
2024-02-13,277524.75919281045,167768.41131874776,155893.87190825221,41273.019016697195,0.0,0.0
2024-02-14,268949.8722178333,175466.26931775495,158104.72654485214,39939.193356067226,0.0,0.0
2024-02-15,267934.71031190344,178013.55911284738,158843.97483526685,37667.8171764899,0.0,0.0
2024-02-16,267781.0550035264,184458.6253410118,152052.6005799551,38167.78051201434,0.0,0.0
2024-02-17,265934.8355458679,196538.39329199877,144456.22281555014,35530.60978309074,0.0,0.0
2024-02-18,265934.8355458679,202927.0555448578,145359.43795262335,28238.732393158516,0.0,0.0
2024-02-19,271595.29881766776,201102.3624102852,138443.5386804953,31318.861528059344,0.0,0.0
2024-02-20,276562.0114237688,202908.1053549602,131626.5143943394,31363.430263439168,0.0,0.0
2024-02-21,288049.9335380973,196390.0284349499,127282.76308926157,30737.336374198774,0.0,0.0
2024-02-22,298503.07104861364,192301.50782735655,122174.90427020955,28939.97120566643,0.0,0.0
2024-02-23,305943.27671568864,180524.86538030655,120368.55599070562,35322.817406794406,0.0,0.0
2024-02-24,306060.96511607995,158015.3528195586,133410.17552008462,44973.56798078446,0.0,0.0
2024-02-25,298104.88999307354,99237.04104360066,176566.6570938027,68551.47330603066,0.0,0.0
2024-02-26,278847.0184417818,114940.80512893687,182122.50726154598,66549.73060424291,0.0,0.0
2024-02-27,256110.75002118634,129511.38749924435,203211.6798951177,53626.24402095921,0.0,0.0
2024-02-28,244608.4645465844,133622.8169332865,210693.669901577,52856.63198276627,678.478072293344,0.0
2024-02-29,244379.80395431904,125772.47022420817,215721.98680018468,55300.62446082535,1045.1148553214266,0.0
2024-03-01,244415.13593903813,131078.28945693362,200207.20614945298,62612.72037310535,3906.6483763285896,0.0
2024-03-02,247239.17343391158,123289.64085102658,197407.17735094082,68061.18480168624,6462.884998942399,0.0
2024-03-03,253423.97570566554,111581.60434913739,195897.5279382061,72628.73984719237,8928.213596306163,0.0
2024-03-04,263290.91541020956,14393.67941791593,225824.5057615291,129009.75625312014,9941.204593732846,0.0
2024-03-05,268775.6366873183,115430.34678285866,184503.99571407345,62289.782909041016,11460.299343216098,0.0
2024-03-06,269593.116559555,115667.71648873968,172700.00545092468,75115.42345070856,9383.799486579668,0.0
2024-03-07,265484.2601447449,120691.25499836451,161764.1022484291,80612.52560074884,13907.918444220184,0.0
2024-03-08,248439.62942553242,122907.88955846531,176453.32790089876,80938.74256378913,13720.471987821962,0.0
2024-03-09,231178.55457159932,128739.12270302301,190847.64592342536,79464.0784132116,12230.659825248335,0.0
2024-03-10,217942.67074372576,135260.71941313052,200757.6376535715,76483.09917274912,11718.208341126481,0.0
2024-03-11,202092.643968308,139389.14169265132,215190.6488128833,72112.47595409527,13675.151008569668,0.0
2024-03-12,188426.58861529466,150522.38755378197,224188.69477313108,68535.6571064989,10786.733387800945,0.0
2024-03-13,178417.0981030533,156194.42243864218,230358.4144657257,67622.88905517953,9867.237373906835,0.0
2024-03-14,169986.51165252,170175.19244621607,235661.02942918552,57487.42892030248,9149.898988283505,0.0
2024-03-15,159042.85257437814,194530.26569543107,222820.46799121477,57807.593472623485,8258.881702860115,0.0
2024-03-16,156638.7341785073,194824.11650025757,226531.7363844309,58126.88470064838,6338.589672663427,0.0
2024-03-17,155849.63761004552,206061.94088067743,214610.33770765405,61398.1389338077,4540.006304322862,0.0
2024-03-18,162355.40493136866,218939.13642127923,200855.02493387414,60310.49514998555,0.0,0.0
2024-03-19,172264.87536129705,211972.86776053932,189496.74118354608,68725.5771311251,0.0,0.0
2024-03-20,181235.66249491367,207773.15164917655,185570.00444738363,67881.24284503376,0.0,0.0
